mode,roof_modal_static_displacement_m,roof_modal_factor,roof_cumulative_factor,base_modal_static_shear,base_modal_factor,base_cumulative_factor,,,,,,,,,
1,0.010001041,1.030028459,1.030028459,99.70296543,0.879530001,0.879530001,,,,,,,,,
2,-0.000339599,-0.034976065,0.995052394,9.882385882,0.087177496,0.966707497,,,,,,,,,
3,5.98E-05,0.006163041,1.001215434,2.745065107,0.0242156,0.990923097,,,,,,,,,
4,-1.44E-05,-0.001487726,0.999727708,0.851252868,0.00750933,0.998432427,,,,,,,,,
5,2.64E-06,0.000272292,1,0.17769909,0.001567573,1,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,mode,roof_modal_static_displacement_m,roof_modal_factor,roof_cumulative_factor,base_modal_static_shear,base_modal_factor,base_cumulative_factor
,,,,,,,,,1,0.010001041,1.030028459,1.030028459,99.70296543,0.879530001,0.879530001
,,,,,,,,,2,-0.000339599,-0.034976065,0.995052394,9.882385882,0.087177496,0.966707497
,,,,,,,,,3,5.98E-05,0.006163041,1.001215434,2.745065107,0.0242156,0.990923097
,,,,,,,,,4,-1.44E-05,-0.001487726,0.999727708,0.851252868,0.00750933,0.998432427
,,,,,,,,,5,2.64E-06,0.000272292,1,0.17769909,0.001567573,1
