time_s,ag_g,ag_m_per_s2,roof_total_m,roof_total_in,base_total_kN,base_total_kip,D_mode_1_m,D_mode_1_in,roof_mode_1_m,roof_mode_1_in,base_mode_1_kN,base_mode_1_kip,D_mode_2_m,D_mode_2_in,roof_mode_2_m,roof_mode_2_in,base_mode_2_kN,base_mode_2_kip,D_mode_3_m,D_mode_3_in,roof_mode_3_m,roof_mode_3_in,base_mode_3_kN,base_mode_3_kip,D_mode_4_m,D_mode_4_in,roof_mode_4_m,roof_mode_4_in,base_mode_4_kN,base_mode_4_kip,D_mode_5_m,D_mode_5_in,roof_mode_5_m,roof_mode_5_in,base_mode_5_kN,base_mode_5_kip
0.0,-0.0002180011,-0.002138590791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0001291326,0.001266790806,8.652040850037555e-08,3.406315295290376e-06,0.0026203136447144736,0.0005890699410580111,8.516141079923597e-08,3.352811448788818e-06,1.0659668259529586e-07,4.196719787216373e-06,0.0010626899260517246,0.0002389021991183977,7.652096194238855e-08,3.0126362969444313e-06,-2.7711944414577155e-08,-1.0910214336447699e-06,0.0008064210912496612,0.00018129067321715153,6.62218927085079e-08,2.6071611302562165e-06,1.0501365437965342e-08,4.134395841718639e-07,0.0004817341264092605,0.00010829813981312818,5.798621629685456e-08,2.282921901450967e-06,-3.6631343127251295e-09,-1.44217886327761e-07,0.00021587007117748554,4.85295225482698e-05,5.301856786678983e-08,2.087345191605899e-06,7.974391944166249e-10,3.1395243874670275e-08,5.3598429826341766e-05,1.2049406361063892e-05
0.04,5.806444e-05,0.0005696121564000001,7.586246146173595e-08,2.9867110811707068e-06,0.001143211055131202,0.0002570040690439504,7.006993874840508e-08,2.75865900584272e-06,8.770666138732603e-08,3.4530181648553555e-06,0.0008743704141131903,0.00019656628867444252,3.53387235034135e-08,1.3912883269060435e-06,-1.2797862396790173e-08,-5.038528502673297e-07,0.0003724194161653168,8.37232153379361e-05,6.724693895376694e-10,2.647517281644368e-08,1.0663915687920619e-10,4.198392003118354e-09,4.891908712604315e-06,1.0997448274208415e-06,-2.075615674564803e-08,-8.171715254192139e-07,1.3112183348201807e-09,5.162276908740869e-08,-7.727065706643007e-05,-1.737113474772432e-05,-3.086248502717819e-08,-1.2150584656369368e-06,-4.6419502049930173e-10,-1.8275394507846524e-08,-3.120002679347912e-05,-7.01404504812469e-06
0.06,-0.001951005,-0.019139359050000002,1.7254610282879661e-06,6.793153654677032e-05,0.05000725874935753,0.011242078986756818,1.6864712233917955e-06,6.639650485794471e-05,2.110958895805521e-06,8.310861794509926e-05,0.021044695747227657,0.004731035808789222,1.4520309269264967e-06,5.716657192624003e-05,-5.258506860581423e-07,-2.0702782915674897e-05,0.015302321545590495,0.003440098733636128,1.2107721033857719e-06,4.7668193046683936e-05,1.9200236960479395e-07,7.559148409637557e-06,0.00880781592988676,0.0019800757902146363,1.044567374070332e-06,4.112469976654851e-05,-6.598793358617158e-08,-2.5979501411878573e-06,0.003888697138572799,0.0008742138937574194,9.533021604198169e-07,3.753158111889043e-05,1.4338382521965235e-08,5.645032488962692e-07,0.0009637283880798135,0.00021665476035941051
0.08,-0.001375397,-0.01349264457,8.427226685455267e-06,0.00033178057816753023,0.230631065659575,0.051847926116888994,8.18668993471897e-06,0.0003223106273511405,1.0247293701305974e-05,0.000403436759893936,0.10215792387287402,0.022966014895121494,6.738018283054979e-06,0.0002652763103564953,-2.4401625827051875e-06,-9.606939301988928e-05,0.07100904012121932,0.015963467260176254,5.240616853812625e-06,0.00020632349818159942,8.310489243261404e-07,3.2718461587643326e-05,0.038123102174527926,0.008570414307537898,4.206381746277425e-06,0.00016560558056210337,-2.65727655488453e-07,-1.0461718720017834e-05,0.015659444346566884,0.003520383133080438,3.641725735444465e-06,0.0001433750289545065,5.477429801679326e-08,2.1564684258580026e-06,0.003681555144386842,0.0008276465209729081
0.1,-0.00152093,-0.0149203233,2.1059804350367002e-05,0.00082912615552626,0.5005964521492621,0.11253855932714041,2.0107628313370004e-05,0.000791638909975197,2.5168752524749346e-05,0.0009908957686909192,0.25091380996241597,0.05640766842677235,1.4556355712716927e-05,0.0005730848705794066,-5.271561022629674e-06,-0.00020754177254447536,0.1534030932243795,0.03448638725599912,9.372588635650044e-06,0.00036899955258464743,1.4862906259101365e-06,5.8515378972840025e-05,0.06818131608624586,0.015327769608496222,6.256098802931338e-06,0.00024630310247761175,-3.952134085020393e-07,-1.5559583011891312e-05,0.023290095131718876,0.005235821671253433,4.756120247284931e-06,0.00018724882863326503,7.153563083923293e-08,2.8163634188674383e-06,0.004808137744501841,0.0010809123646192847
0.12,-0.001118726,-0.010974702060000001,3.8783840986057186e-05,0.0015269228734668184,0.7643345854926963,0.17182925033916838,3.6089730808842884e-05,0.0014208555436552317,4.517357737354921e-05,0.0017784872981712288,0.4503470880125435,0.1012420528841322,2.1243309602916437e-05,0.0008363507717683638,-7.693230716844512e-06,-0.00030288309908836663,0.22387398794902746,0.05032887461833819,9.759941152313007e-06,0.0003842496516658664,1.5477163895725927e-06,6.0933716124905226e-05,0.07099912932889103,0.01596123922542765,4.458549491693516e-06,0.00017553344455486283,-2.816577226628191e-07,-1.1088886719008627e-05,0.01659821001585906,0.003731426051012304,2.488948654334729e-06,9.799010450136728e-05,3.74356624427095e-08,1.4738449780594292e-06,0.0025161701863752185,0.0005656575602580145
0.14,0.0004013978,0.003937712418,5.916702895299225e-05,0.0023294105887004825,0.9334283307115173,0.20984303648658326,5.317454682060818e-05,0.0020934860952995346,6.655867060431461e-05,0.0026204201025320714,0.6635406189059169,0.14916986523996695,2.2483854857476512e-05,0.0008851911361211225,-8.142492203703745e-06,-0.00032057055920093485,0.23694755410048424,0.05326792920739134,4.759916434336434e-06,0.00018739828481639505,7.548201944509194e-07,2.971733049019368e-05,0.03462622542924612,0.00778428514228114,-1.7810135382155115e-07,-7.011864323683117e-06,1.1251107969979972e-08,4.429570066921249e-07,-0.0006630326029455092,-0.00014905565870882993,-1.011967275503398e-06,-3.984123131903142e-05,-1.522075003951399e-08,-5.992421275399209e-07,-0.0010230351211843712,-0.00022998744434734274
0.16,0.002410099,0.023643071190000003,7.630463735415252e-05,0.003004119580872147,0.8931958616789126,0.20079841764507156,6.527870252418377e-05,0.002570027658432432,8.170946286467091e-05,0.0032169079867980675,0.8145827894011327,0.1831254959524827,1.3431985022433205e-05,0.0005288183079698112,-4.864371969073591e-06,-0.00019151070744384216,0.1415538402091026,0.03182256920911366,-5.2422139422179114e-06,-0.00020638637567787054,-8.313021881380714e-07,-3.272843260386108e-05,-0.03813472026570973,-0.008573026158337315,-5.566066368414113e-06,-0.00021913647119740603,3.5162233377433e-07,1.3843398967493307e-05,-0.020721254461180293,-0.004658323315118103,-4.040601309267862e-06,-0.00015907879170345914,-6.077368708104295e-08,-2.3926648457103526e-06,-0.004084793204432721,-0.0009182980430693998
0.18,0.001457739,0.01430041959,8.468830184644583e-05,0.0033341851120647966,0.6335580253847242,0.1424295100790794,6.752522155116866e-05,0.002658473289416089,8.452143454781205e-05,0.0033276155333784273,0.8426160631134298,0.1894276265873691,-5.8812925512322764e-06,-0.0002315469508359164,2.1299007243050888e-06,8.38543592246098e-05,-0.061980380757550024,-0.013933743891022456,-1.5218363159911765e-05,-0.000599148155902038,-2.413304518693865e-06,-9.501198892495533e-05,-0.11070666485612374,-0.02488784832039904,-8.361997225805666e-06,-0.0003292124892049475,5.282482789349139e-07,2.0797176336020232e-05,-0.03112989692377157,-0.006998279226236016,-5.184393684562292e-06,-0.0002041099875811926,-7.797718591236463e-08,-3.069967949305694e-06,-0.0052410951912603265,-0.0011782450706322091
0.2,0.0008531971,0.008369863551,8.320938568972759e-05,0.003275960066524708,0.324102065032906,0.07286104269648123,6.049937600139601e-05,0.002381865196905355,7.572717173553598e-05,0.0029813847139974797,0.7549437803545148,0.16971811336119846,-2.72057043495247e-05,-0.0010710907224222323,9.852502471950959e-06,0.0003878937981083055,-0.28670906942174995,-0.06445476287380514,-1.6764874875479483e-05,-0.0006600344439165151,-2.658547957306498e-06,-0.00010466724241364166,-0.12195683364184595,-0.027416986874810607,-5.2141612403970696e-06,-0.00020528193859830983,3.293916066880192e-07,1.29681734916543e-05,-0.01941118820950658,-0.004363808705688737,-2.734714584304006e-06,-0.00010766592851590574,-4.113216714087798e-08,-1.6193766590896843e-06,-0.002764624048506321,-0.0006215122104127488
0.22,0.002865974,0.02811520494,7.006461243046342e-05,0.0027584493082859615,0.04630338768229761,0.01040941564679348,4.4889883927157804e-05,0.0017673182648487325,5.618874398409853e-05,0.002212155274964509,0.5601601357154807,0.1259290080767876,-4.2313953603256106e-05,-0.0016659036851675634,1.532393086089618e-05,0.0006033043646022118,-0.4459283283123898,-0.10024867618612907,-9.184983096678961e-06,-0.0003616135077432662,-1.4565404293762842e-06,-5.734411139276709e-05,-0.0668165711849851,-0.015020962749643072,-2.1103319476173037e-07,-8.308393494556315e-06,1.333149472795715e-08,5.248619971636674e-07,-0.0007856306840372004,-0.00017661680374510562,-3.226886192285275e-07,-1.2704276347579823e-05,-4.853479882963698e-09,-1.910818851560511e-07,-0.0003262178517710038,-7.333669047689738e-05
