time_s,ag_g,ag_m_per_s2,roof_total_m,roof_total_in,base_total_kN,base_total_kip,D_mode_1_m,D_mode_1_in,Ddot_mode_1_m_per_s,Dddot_mode_1_m_per_s2,roof_mode_1_m,roof_mode_1_in,base_mode_1_kN,base_mode_1_kip,D_mode_2_m,D_mode_2_in,Ddot_mode_2_m_per_s,Dddot_mode_2_m_per_s2,roof_mode_2_m,roof_mode_2_in,base_mode_2_kN,base_mode_2_kip,D_mode_3_m,D_mode_3_in,Ddot_mode_3_m_per_s,Dddot_mode_3_m_per_s2,roof_mode_3_m,roof_mode_3_in,base_mode_3_kN,base_mode_3_kip,D_mode_4_m,D_mode_4_in,Ddot_mode_4_m_per_s,Dddot_mode_4_m_per_s2,roof_mode_4_m,roof_mode_4_in,base_mode_4_kN,base_mode_4_kip,D_mode_5_m,D_mode_5_in,Ddot_mode_5_m_per_s,Dddot_mode_5_m_per_s2,roof_mode_5_m,roof_mode_5_in,base_mode_5_kN,base_mode_5_kip
0.0,-0.0009429229,-0.009250073649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009250073649,0.0,0.0,0.0,0.0
0.01,-0.0009236815,-0.009061315515000001,4.561021283880005e-07,1.7956776708188995e-05,0.015222296649645707,0.0034221084213571155,4.538261797648892e-07,1.7867172431688553e-05,9.076523595297785e-05,0.008902973541595569,5.680550003085152e-07,2.2364370090886425e-05,0.0056630873642010355,0.00127311268502736,4.3891664566217443e-07,1.7280182900085607e-05,8.77833291324349e-05,0.008306592177486978,-1.5895296371705763e-07,-6.257990697521954e-06,0.004625551370211686,0.001039865314790707,4.1922046828546447e-07,1.6504742845884428e-05,8.38440936570929e-05,0.007518745082418579,6.647933419720911e-08,2.6172966219373667e-06,0.003049638084965719,0.0006855859147177684,4.00722660211618e-07,1.5776482685496772e-05,8.014453204232359e-05,0.006778832759464719,-2.5314652692510593e-08,-9.966398697838816e-07,0.00149180330614201,0.00033537072456643916,3.879732758997993e-07,1.5274538421251943e-05,7.759465517995988e-05,0.006268857386991972,5.835410291844376e-09,2.2974056267103844e-07,0.00039221652412525657,8.817378225484103e-05
0.02,-0.000904238,-0.008870574780000001,1.8115391331286549e-06,7.132043831215177e-05,0.058067397599335394,0.013054070282857256,1.795235227633176e-06,7.067855226902267e-05,0.0001775165736206795,0.008447293991944764,2.247098984715554e-06,8.84684639651793e-05,0.022401911539446533,0.005036150056596184,1.68795088701281e-06,6.645475933121299e-05,0.0001620235191376922,0.00654144582356448,-6.112887236134385e-07,-2.4066485181631436e-05,0.017788579256302735,0.003999031701854852,1.5466942465354064e-06,6.08934742730475e-05,0.00014165066199289545,0.004042568584741932,2.4527238409149257e-07,9.656393074468212e-06,0.011251496615427256,0.002529437062404171,1.4179851984675964e-06,5.58261889160471e-05,0.00012330797560887205,0.0018538559538449698,-8.957767150819886e-08,-3.526679980637751e-06,0.005278850479823863,0.0011867327971506023,1.3319917675640054e-06,5.2440620770236436e-05,0.00011120904315288132,0.00045402020759231776,2.0034159443245817e-08,7.887464347734574e-07,0.0013465597083350067,0.0003027186648514473
0.03,-0.0008847564,-0.008679460284,4.040418409785013e-06,0.00015907159093641782,0.12164671307690414,0.027347268998372552,3.978870513161642e-06,0.00015664844540006466,0.0002592104834850138,0.00789148798092209,4.980358981829815e-06,0.00019607712526889038,0.04965048807574554,0.011161873748693135,3.5757817236733544e-06,0.000140778808018636,0.00021554264819441667,0.004162379987780414,-1.2949636524394665e-06,-5.098282096218372e-05,0.03768360624956948,0.00847161169315136,3.0579868876898395e-06,0.00012039318455471809,0.00016060786623799114,-0.000251127735722792,4.84930836294438e-07,1.909176520844244e-05,0.022245462665898344,0.005000978950684675,2.6100103479636837e-06,0.00010275631291195606,0.00011509705429034543,-0.003496040217550296,-1.648808815744725e-07,-6.491373290333564e-06,0.00971650084400242,0.002184356285367629,2.325224355763277e-06,9.154426597493217e-05,8.743747448697306e-05,-0.005208333940773968,3.497312567469871e-08,1.3768947116023114e-06,0.002350655241688345,0.0005284483204757513
0.04,-0.0008651242,-0.008486868401999999,7.116398418016942e-06,0.0002801731660636591,0.19760083003284287,0.04442243375530894,6.949324248751494e-06,0.00027359544286423206,0.00033488026363295663,0.007242468048666469,8.698480969770427e-06,0.00034245988069962313,0.086717408773616,0.019494849014742174,5.8710378274683765e-06,0.0002311432215538731,0.00024350857256458778,0.0014308048862538073,-2.1261869924371337e-06,-8.370814930854858e-05,0.06187231068997332,0.013909448773349823,4.550716858306444e-06,0.00017916208103568678,0.0001379381278853298,-0.00428281993480948,7.216456488813982e-07,2.8411246018952687e-05,0.03310439373760908,0.007442163768108572,3.493600115727161e-06,0.0001375433116428016,6.162089926234999e-05,-0.007199190788048787,-2.2069945714935091e-07,-8.688955005879958e-06,0.013005913367184182,0.002923845638123073,2.869420724581049e-06,0.00011296931986539564,2.1401799276581336e-05,-0.007998801101304378,4.315824895160122e-08,1.699143659511859e-06,0.0029008034644603118,0.0006521265609853013
0.05,-0.0008454361,-0.008293728141,1.1012284886901944e-05,0.00043355452310637576,0.2780558232363486,0.06250943574448345,1.0641944628223667e-05,0.0004189741979615617,0.00040364381226147805,0.006510241677037808,1.3320540172893065e-05,0.000524430715468231,0.13279591359370735,0.029853708982961826,8.307842101610156e-06,0.00032708039770118724,0.00024385228226376802,-0.0013620629464177539,-3.0086717767379666e-06,-0.00011845164475346326,0.08755272965013666,0.01968263661814191,5.6458877195174444e-06,0.00022227904407548995,8.109604435687025e-05,-0.007085596770882427,8.953161520971778e-07,3.5248667405400705e-05,0.041071263250334104,0.009233187283077591,3.731517374768962e-06,0.00014691013286491976,-1.4037447453989803e-05,-0.00793247855521917,-2.3572928545757957e-07,-9.280680529825967e-06,0.013891627575208681,0.0031229621131174576,2.7145996984626437e-06,0.00010687400387648204,-5.236600450026244e-05,-0.006754759654064376,4.082962410724833e-08,1.6074655160333988e-06,0.002744289166961766,0.0006169407471846596
0.06,-0.0008256259,-0.008099390079,1.5699292483954116e-05,0.0006180823812580362,0.3571485181158,0.08029018088724081,1.4983743116803691e-05,0.000589911146330854,0.00046471588545452685,0.0057041729615719475,1.8755176718205586e-05,0.0007383927841813223,0.18697521230962283,0.04203369986517029,1.0614079064729453e-05,0.00041787712853265564,0.00021739511036009143,-0.003929371434317562,-3.843871817439523e-06,-0.00015133353611966626,0.11185715658453906,0.025146489149909048,6.078763043841857e-06,0.00023932137967881326,5.479020508012192e-06,-0.008037807998889184,9.63960852269337e-07,3.795121465627311e-05,0.044220234197531974,0.009941104113568838,3.2531390480498826e-06,0.00012807634047440483,-8.163821788982603e-05,-0.005587675531948074,-2.0550893008730258e-07,-8.090902759342621e-06,0.012110729112892288,0.0027226002120362097,1.963708905333671e-06,7.73113742257351e-05,-9.781215412553206e-05,-0.0023344702709895467,2.953566100601747e-08,1.1628212994495068e-06,0.0019851859112139003,0.00044628754655643267
0.07,-0.0008057426,-0.007904334906,2.1145665390081316e-05,0.0008325065114205243,0.4317326878002854,0.09705736924597944,1.9894395262435097e-05,0.0007832439079698858,0.0005174145436717542,0.004835558681873513,2.4901848352589496e-05,0.0009803877304169093,0.24825297317022144,0.05580948851975827,1.2539415170441672e-05,0.0004936777626158139,0.00016767211078235242,-0.006015228481230241,-4.541129219679781e-06,-0.00017878461494802287,0.1321474352739232,0.029707925257268078,5.757728800869658e-06,0.00022668223625471097,-6.968586910245189e-05,-0.006995169923203631,9.130517379921113e-07,3.594691881858706e-05,0.04188485620907105,0.009416090256244609,2.26606057338883e-06,8.921498320428465e-05,-0.00011577747704238452,-0.0012401762985636226,-1.4315271406222935e-07,-5.635933624497218e-06,0.008436050642891758,0.0018964996289641293,1.0004308321176048e-06,3.9387040634551375e-05,-9.484346051768121e-05,0.002928208992559715,1.5047233241717525e-08,5.924107575479341e-07,0.001011372504177956,0.00022736558374435384
0.08,-0.0007857235,-0.007707947535,2.7314213704547578e-05,0.0010753627442735268,0.5011961999106873,0.11267338798751284,2.5287311167723224e-05,0.000995563431800127,0.0005611686373858712,0.003915260060949895,3.165217035435087e-05,0.0012461484391476723,0.3155486808247642,0.07093816543272313,1.3880204807433704e-05,0.0005464647561981773,0.00010048581661605387,-0.007422030352029471,-5.026694049875439e-06,-0.0001979013405462771,0.14627743331306706,0.03288447518244899,4.77835799749847e-06,0.000188124330610176,-0.00012618829157178574,-0.004305314570663136,7.577446290463531e-07,2.9832465710486344e-05,0.03476037940697354,0.007814444156226664,1.1605126616541424e-06,4.568947486827333e-05,-0.00010533210530455299,0.003329250646129928,-7.331248739345418e-08,-2.886318401317094e-06,0.004320336225960001,0.0009712502207934598,2.8623954940132136e-07,1.126927359847722e-05,-4.79947960255755e-05,0.006441523905861427,4.30525841924421e-09,1.6949836296237048e-07,0.0002893701399226297,6.505299532062173e-05
0.09,-0.0007656426,-0.007510953906,3.415833980355805e-05,0.0013448165276991357,0.5666209260303557,0.12738145151906352,3.107077875730095e-05,0.0012232590061929506,0.0005955248805296735,0.002955988567810562,3.8891346562924535e-05,0.0015311553764930919,0.3877179026285209,0.08716245191075425,1.4498849609249205e-05,0.0005708208507578427,2.324314374704629e-05,-0.008026504221772042,-5.250735278907369e-06,-0.00020672186137430586,0.1527970614451806,0.03435014589223257,3.391392095615832e-06,0.00013351937384314299,-0.0001512048888047419,-0.0006980048759280995,5.378017190818436e-07,2.1173296026844234e-05,0.024670833793351655,0.005546224070472007,3.494013166572653e-07,1.3755957348711232e-05,-5.6890163694822446e-05,0.00635913767581618,-2.207255506043416e-08,-8.689982307257543e-07,0.0013007451065642722,0.00029241913264883433,1.3292921521974912e-07,5.233433670068863e-06,1.733272918926106e-05,0.006623981137105885,1.9993555194777305e-09,7.871478423140671e-08,0.00013438305673830336,3.021051295584641e-05
0.1,-0.0007454646,-0.007313007726,4.1616341722103525e-05,0.0016384386504765167,0.6296930198317823,0.14156062226564803,3.714917065898243e-05,0.0014625657739756861,0.0006201534998066228,0.001969735287579273,4.6499680034064856e-05,0.0018306960643332622,0.46356734875546607,0.10421408572925123,1.4335810974564975e-05,0.0005644020068726369,-5.585087068389211e-05,-0.007792298664415637,-5.191691097194134e-06,-0.00020439728729110764,0.15107886828136624,0.03396388070303432,1.9345873051073924e-06,7.616485453178711e-05,-0.00014015606929694598,0.0029077687774872844,3.0678386605478577e-07,1.2078104962786842e-05,0.01407324205441536,0.003163790672239516,1.089383407874648e-07,4.288911054624598e-06,8.797568520862363e-06,0.006778408767320781,-6.8819074530916135e-09,-2.7094123831069344e-07,0.00040555374848665277,9.117210956741023e-05,5.618619305505527e-07,2.2120548446872154e-05,6.845381387689968e-05,0.0036002358004218367,8.450826631102871e-09,3.3270970988593984e-07,0.0005680069920479749,0.0001276930515555509
0.11,-0.0007252065,-0.007114275765000001,4.960429371984171e-05,0.0019529249496000674,0.6917748887315354,0.1555171815986563,4.342417908222323e-05,0.001709613349693828,0.0006348481848415374,0.0009692017194036437,5.4354118739312424e-05,0.0021399259346185995,0.5418702816764357,0.12181728532082194,1.3413258327608799e-05,0.0005280810365200315,-0.00012865965870734316,-0.006769458940274576,-4.857590126388009e-06,-0.00019124370576330743,0.14135648772825996,0.03177820260647732,7.466503724692785e-07,2.9395683955483408e-05,-9.743131723067681e-05,0.005637181635766552,1.184026625485664e-07,4.6615221475813544e-06,0.005431541597548236,0.0012210591259469322,4.808199571113643e-07,1.8929919571313554e-05,6.557875474391754e-05,0.0045778284772902515,-3.0374599268916345e-08,-1.1958503649179665e-06,0.0017899881212083163,0.0004024053376898781,1.3122377165789071e-06,5.166290222751603e-05,8.162134332877121e-05,-0.0009667299100475299,1.973704363763597e-08,7.770489621116525e-07,0.0013265896080831292,0.0002982292077202274
0.12,-0.0007048211,-0.0069142949910000005,5.800861724221716e-05,0.0022838038284337466,0.7534077359863507,0.16937279685023723,4.9796053506658125e-05,0.0019604745475062255,0.0006395267000454416,-3.3498678622810585e-05,6.232980478283982e-05,0.0024539293221590482,0.6213819607029455,0.139692221846855,1.1830232746177036e-05,0.00046575719473137937,-0.00018794545757900956,-0.005087700834058701,-4.284299934969365e-06,-0.00016867322578619547,0.12467367057006148,0.028027756113217003,8.498545558064345e-08,3.345884077978089e-06,-3.490166614705023e-05,0.006868748580958765,1.3476862249961758e-08,5.305851279512504e-07,0.000618230505459027,0.00013898374652424365,1.2698299513186504e-06,4.999330517002561e-05,9.222324409753971e-05,0.0007510693934341811,-8.021833399489719e-08,-3.158202125783354e-06,0.004727300718693893,0.001062739478284076,1.9848650988667198e-06,7.814429523097322e-05,5.290413312879131e-05,-0.00477671212994845,2.985386609164529e-08,1.1753490587261928e-06,0.0020065734891907827,0.00045109566535687825
0.13,-0.000684364,-0.00671361084,6.66803261309468e-05,0.002625209690194756,0.814301191862977,0.18306219030755044,5.6164849036103616e-05,0.0022112145289804575,0.0006342324058436566,-0.0010253601617341915,7.030163696827763e-05,0.0027677809830030566,0.7008552196204187,0.15755852118878183,9.750108582060318e-06,0.00038386254260079996,-0.00022807937524433396,-0.0029390826990061784,-3.530986284066482e-06,-0.00013901520803411346,0.10275214794695695,0.02309960178118048,6.705509854100107e-08,2.639964509488231e-06,3.131559473912176e-05,0.006374703596275634,1.0633493931642943e-08,4.186414933717694e-07,0.00048779531957995393,0.00010966075024375497,2.132281499196303e-06,8.39480905195395e-05,8.026706547799081e-05,-0.003142305117343959,-1.3470155535081281e-07,-5.303210840583182e-06,0.007938020246837697,0.0017845379419956856,2.243471965882105e-06,8.832566794811437e-05,-1.1827597257143014e-06,-0.006040666440952672,3.374350815480882e-08,1.3284845730239692e-06,0.002268008729183686,0.0005098686453487019
