mode,force_distribution,roof_modal_static_displacement_m,roof_modal_static_displacement_in,roof_modal_factor,roof_cumulative_factor,base_modal_static_shear_kN,base_modal_static_shear_kip,base_modal_factor,base_cumulative_factor
1,s_a_Chopra_Table_12_11_1,0.00012555614337933935,0.004943155251155093,0.8795300014310612,0.8795300014310612,1.2517016991016383,0.28139373605115114,1.2517016991016383,1.2517016991016383
2,s_a_Chopra_Table_12_11_1,1.2444908266416645e-05,0.00048995701836286,0.0871774959852104,0.9667074974162716,-0.36214840628168077,-0.0814142004614292,-0.36214840628168077,0.8895532928199575
3,s_a_Chopra_Table_12_11_1,3.45686596828906e-06,0.00013609708536571104,0.024215599875908368,0.99092309729218,0.1585784550766272,0.03564985488416148,0.1585784550766272,1.0481317478965848
4,s_a_Chopra_Table_12_11_1,1.071984435513612e-06,4.220411163439418e-05,0.007509329664999172,0.9984324269571792,-0.06317250109874537,-0.014201743204974245,-0.06317250109874537,0.9849592467978394
5,s_a_Chopra_Table_12_11_1,2.2377681875783493e-07,8.81011097471791e-06,0.0015675730428233586,1.0000000000000024,0.015040753202165108,0.0033812958308023244,0.015040753202165108,1.0000000000000044
1,s_b_Chopra_Table_12_11_1,0.000135727955404797,0.005343620291527441,0.7923202428172326,0.7923202428172326,1.353107126606215,0.3041905830330293,1.353107126606215,1.353107126606215
2,s_b_Chopra_Table_12_11_1,2.1035361276795234e-05,0.000828163829795088,0.1227952082890476,0.9151154511062801,-0.6121316765755688,-0.13761267524880744,-0.6121316765755688,0.7409754500306461
3,s_b_Chopra_Table_12_11_1,9.386671262448217e-06,0.0003695539867105597,0.054795267723053445,0.9699107188293336,0.43059923085416635,0.09680255798787339,0.43059923085416635,1.1715746808848124
4,s_b_Chopra_Table_12_11_1,4.106590162974251e-06,0.0001616767780698524,0.023972471296533075,0.9938831901258667,-0.24200311402683009,-0.054404464291210396,-0.24200311402683009,0.9295715668579824
5,s_b_Chopra_Table_12_11_1,1.0478365349650078e-06,4.1253406888386136e-05,0.006116809874135187,1.0000000000000018,0.07042843314202192,0.01583294161882657,0.07042843314202192,1.0000000000000042
