time_s,ag_g_unscaled,ag_g_after_scale,ag_m_per_s2_after_scale
0.0,-0.0009429229,-0.0009429229,-0.009250073649
0.01,-0.0009236815,-0.0009236815,-0.009061315515000001
0.02,-0.000904238,-0.000904238,-0.008870574780000001
0.03,-0.0008847564,-0.0008847564,-0.008679460284
0.04,-0.0008651242,-0.0008651242,-0.008486868401999999
0.05,-0.0008454361,-0.0008454361,-0.008293728141
0.06,-0.0008256259,-0.0008256259,-0.008099390079
0.07,-0.0008057426,-0.0008057426,-0.007904334906
0.08,-0.0007857235,-0.0007857235,-0.007707947535
0.09,-0.0007656426,-0.0007656426,-0.007510953906
0.1,-0.0007454646,-0.0007454646,-0.007313007726
0.11,-0.0007252065,-0.0007252065,-0.007114275765000001
0.12,-0.0007048211,-0.0007048211,-0.0069142949910000005
0.13,-0.000684364,-0.000684364,-0.00671361084
0.14,-0.0006638154,-0.0006638154,-0.0065120290740000005
0.15,-0.0006432136,-0.0006432136,-0.006309925416
0.16,-0.0006225103,-0.0006225103,-0.006106826043000001
0.17,-0.0006018054,-0.0006018054,-0.005903710974
0.18,-0.0005810081,-0.0005810081,-0.005699689461
0.19,-0.0005601018,-0.0005601018,-0.005494598658
0.2,-0.0005389738,-0.0005389738,-0.005287332978000001
0.21,-0.00051768,-0.00051768,-0.0050784408
0.22,-0.0004962623,-0.0004962623,-0.0048683331630000005
0.23,-0.0004749517,-0.0004749517,-0.004659276177
0.24,-0.000453926,-0.000453926,-0.0044530140600000006
0.25,-0.0004333838,-0.0004333838,-0.004251495078000001
0.26,-0.0004131976,-0.0004131976,-0.004053468456
0.27,-0.000393015,-0.000393015,-0.00385547715
0.28,-0.0003723208,-0.0003723208,-0.003652467048
0.29,-0.0003507404,-0.0003507404,-0.0034407633240000003
0.3,-0.000328255,-0.000328255,-0.0032201815500000003
0.31,-0.0003054945,-0.0003054945,-0.0029969010450000004
0.32,-0.00028321,-0.00028321,-0.0027782901
0.33,-0.0002618081,-0.0002618081,-0.0025683374610000003
0.34,-0.0002408988,-0.0002408988,-0.0023632172280000003
0.35000000000000003,-0.0002199636,-0.0002199636,-0.0021578429160000003
0.36,-0.0001989451,-0.0001989451,-0.001951651431
0.37,-0.0001786578,-0.0001786578,-0.0017526330180000001
0.38,-0.0001603004,-0.0001603004,-0.001572546924
0.39,-0.0001450943,-0.0001450943,-0.0014233750830000003
0.4,-0.0001331974,-0.0001331974,-0.001306666494
0.41000000000000003,-0.0001226457,-0.0001226457,-0.001203154317
0.42,-0.0001096971,-0.0001096971,-0.001076128551
0.43,-9.043673e-05,-9.043673e-05,-0.0008871843213
0.44,-6.207847e-05,-6.207847e-05,-0.0006089897907
0.45,-2.363137e-05,-2.363137e-05,-0.00023182373970000002
0.46,2.428859e-05,2.428859e-05,0.0002382710679
0.47000000000000003,7.97924e-05,7.97924e-05,0.000782763444
0.48,0.0001390261,0.0001390261,0.001363846041
0.49,0.0001954506,0.0001954506,0.001917370386
0.5,0.000242223,0.000242223,0.00237620763
0.51,0.0002744302,0.0002744302,0.002692160262
0.52,0.0002905403,0.0002905403,0.002850200343
0.53,0.0002921963,0.0002921963,0.002866445703
0.54,0.0002836821,0.0002836821,0.002782921401
0.55,0.0002705699,0.0002705699,0.0026542907190000003
0.56,0.0002578674,0.0002578674,0.002529679194
0.5700000000000001,0.0002483499,0.0002483499,0.002436312519
0.58,0.0002423063,0.0002423063,0.002377024803
0.59,0.0002377875,0.0002377875,0.0023326953750000003
0.6,0.0002318616,0.0002318616,0.002274562296
0.61,0.0002230056,0.0002230056,0.0021876849360000002
0.62,0.0002164235,0.0002164235,0.002123114535
0.63,0.0002237102,0.0002237102,0.002194597062
0.64,0.0002576999,0.0002576999,0.002528036019
0.65,0.0003242964,0.0003242964,0.003181347684
0.66,0.0004136779,0.0004136779,0.004058180199
0.67,0.0005027502,0.0005027502,0.004931979462
0.68,0.0005681705,0.0005681705,0.005573752605
0.6900000000000001,0.0005970356,0.0005970356,0.005856919236
0.7000000000000001,0.0005896347,0.0005896347,0.005784316407000001
0.71,0.0005562177,0.0005562177,0.005456495637000001
0.72,0.0005113045,0.0005113045,0.005015897145000001
0.73,0.0004677833,0.0004677833,0.004588954173
0.74,0.000434448,0.000434448,0.00426193488
0.75,0.0004196046,0.0004196046,0.004116321126
0.76,0.0004332062,0.0004332062,0.004249752822
0.77,0.0004835186,0.0004835186,0.004743317466
0.78,0.000576133,0.000576133,0.005651864730000001
0.79,0.0007206613,0.0007206613,0.007069687353000001
0.8,0.0009322685,0.0009322685,0.009145553985
0.81,0.001224772,0.001224772,0.012015013320000002
0.8200000000000001,0.001604797,0.001604797,0.015743058570000003
0.8300000000000001,0.00206976,0.00206976,0.0203043456
0.84,0.002609879,0.002609879,0.02560291299
0.85,0.003209059,0.003209059,0.03148086879
0.86,0.003823816,0.003823816,0.03751163496
0.87,0.004372323,0.004372323,0.04289248863
0.88,0.004766241,0.004766241,0.046756824210000006
0.89,0.004946902,0.004946902,0.048529108620000004
0.9,0.004904008,0.004904008,0.04810831848
0.91,0.004686443,0.004686443,0.045974005830000005
0.92,0.004410066,0.004410066,0.04326274746
0.93,0.004219479,0.004219479,0.04139308899
0.9400000000000001,0.004232521,0.004232521,0.04152103101000001
0.9500000000000001,0.004502872,0.004502872,0.04417317432
0.96,0.005005366,0.005005366,0.04910264046
0.97,0.00564217,0.00564217,0.055349687700000004
0.98,0.006276326,0.006276326,0.06157075806
0.99,0.006783552,0.006783552,0.06654664512
1.0,0.007092485,0.007092485,0.06957727785000001
1.01,0.007197002,0.007197002,0.07060258962
1.02,0.007145076,0.007145076,0.07009319556
1.03,0.007024362,0.007024362,0.06890899122000001
1.04,0.006943295,0.006943295,0.06811372395000001
1.05,0.006994755,0.006994755,0.06861854655
1.06,0.007224002,0.007224002,0.07086745962
1.07,0.007599509,0.007599509,0.07455118329
1.08,0.008018925,0.008018925,0.07866565425
1.09,0.008357845,0.008357845,0.08199045945
1.1,0.00851977,0.00851977,0.0835789437
1.11,0.008464035,0.008464035,0.08303218335000001
1.12,0.008207709,0.008207709,0.08051762529
1.1300000000000001,0.007807516,0.007807516,0.07659173196
1.1400000000000001,0.007333171,0.007333171,0.07193840751000001
1.1500000000000001,0.006842941,0.006842941,0.06712925121
1.16,0.00636941,0.00636941,0.062483912100000004
1.17,0.005923021,0.005923021,0.05810483601
1.18,0.005529932,0.005529932,0.054248632920000005
1.19,0.005246056,0.005246056,0.05146380936
1.2,0.00512703,0.00512703,0.05029616430000001
